countryname,code,cum_excess_who_2023release,cumexcesswho_per100k,excess_deaths_ihme,excess_death_rate_ihme,poptot2020,logmedianage,logpop20,malesper100females,pctpobciudades50khab,loggdppercapita2019,pctinformaloutput2019,pctgovthealthexpgdp2019_who,pctprivatehealthexpgdp2019,haqindex2019,avg_ihrcorecapacitiesscores2019,prematuredeathsncds_2019,pctobesemen2019,pctobesewomen2019,pctmen30_79hypertension2019,pctwomen30_79hypertension2019,diabetesprevalence2021
Liberia,LBR,1908.358765,37.907951,7970,90.59999999999999,5034191,2.9549103,15.431764,98.946264476642,21.299271,7.2831993,47.49721527099609,1.36,7.0599999,35.73525436,46,58.64,10.27,18.33,37.4,41.3,2.1
Libya,LBY,10705.94269,161.91617,36700,292.1,6612028,3.3672957,15.704401,102.744873885674,69.901917,10.022844,34.99065017700195,,,59.49992524,54,51.09,25.94,44.64,45.9,39.4,8.699999999999999
Madagascar,MDG,23500.8316,84.295425,65100,125.4,27879131,2.9755297,17.143389,100.553159239548,23.983402,7.3686371,41.12146759033203,.68,2.4200001,29.01792767,29,62.08,3.54,3.49,34.7,38.9,4.6
Malawi,MWI,11024.84582,57.658669,54900,158.9,19120882,2.8959119,16.766291,94.5287784971536,17.291613,7.3249536,36.40996170043945,1.67,5.48,29.89006308,35,59.27,2.57,10.08,26.8,31.6,7.3
Malaysia,MYS,24887.40218,75.408058,48100,81.40000000000001,33003638,3.3978584,17.312128,104.897118803063,64.60244,10.228263,28.88483238220215,2.01,1.83,55.35890273,92,42.96,15.96,24.49,40.5,41,19
Mali,MLI,12352.48419,59.140202,33500,76.09999999999999,20886781,2.7972813,16.854628,102.040679802233,20.198006,7.704833,39.19855499267578,1.12,2.71,29.59361342,48,66.93000000000001,8.66,11.38,30.5,38.3,2.1
Mauritania,MRT,4558.746034,102.65289,7990,100.5,4440933,3.0106208,15.306376,95.81950660176651,38.494461,8.6135292,31.4015998840332,1.24,2.0599999,42.141039,35,54.99,7.92,31.8,35.9,39.7,2.1
Mexico,MEX,612370.0783000001,487.5152,798000,325.1,125610461,3.3775876,18.648697,95.7575354139738,79.507278,9.9067078,29.4205379486084,2.68,2.77,52.52673797,83,40.74,29.31,38.24,32.8,31.4,16.9
Moldova,MDA,16341.81448,528.00281,16500,245.2,3095024,3.6270041,14.945306,90.59863898876699,35.519543,9.4750233,39.7784538269043,3.88,2.6199999,63.69463715,60,33.91,20.25,24.94,49.3,46.9,5.6
Mongolia,MNG,796.1739438,24.374191,5600,90.90000000000001,3266463,3.3534067,14.999218,98.7554532122841,53.381733,9.4301195,16.38299560546875,2.12,2.3699999,47.38326935,84,56,19.28,24.52,45,40.7,6.9
Morocco,MAR,64532.93987,176.85663,157000,228.3,36488843,3.3877745,17.412518,101.438001165313,53.711109,9.0140333,33.06845092773438,2.02,2.97,48.5491268,75,43.35,12.49,27.91,35,35.6,9.1
Mozambique,MOZ,35648.11376,116.0392,78100,139.2,30720752,2.8735647,17.240448,96.2289152414973,18.458647,7.158658,37.18940353393555,1.84,6.1100001,25.11177891,60,61.56,5.1,11.89,34.3,41.9,3.3
Myanmar,MMR,52082.73239,97.848427,101000,100.9,53227971,3.3707383,17.790094,99.2726839099842,32.93214,8.4825058,47.21899032592773,.66,4.0500002,37.4982296,64,50.37,4.74,8.539999999999999,35.2,40,7.1
Nepal,NPL,34841.15426,120.14511,123000,202.5,28999227,3.2188759,17.182779,90.5866443905168,12.525455,8.2743778,34.64482116699219,1.1,3.3499999,38.76093972,34,46.18,4.01,7.21,39.6,33.9,8.699999999999999
Netherlands,NLD,30531.69792,175.44656,45500,140,17402277,3.7658405,16.672112,98.68706366215039,55.55769,10.947011,12.82382488250732,6.69,3.45,91.05214834,90,18.64,14.05,14.42,36.2,24.8,4.5
New Zealand,NZL,-2770.178095,-55.111515,-872,-9.300000000000001,5026496,3.6349511,15.430234,97.7835945635609,74.484467,10.671519,11.9338264465332,7.13,2.3599999,85.54668305,83,20.63,31.12,33.49,34.4,27.6,6.2
Nicaragua,NIC,17134.45337,255.36821,33400,274.4,6709705,3.3068867,15.719066,97.1813457336486,44.303768,8.5846624,42.97186660766602,5.28,3.29,52.23568583,78,37.99,26.07,36.85,34.5,36.9,9.300000000000001
Niger,NER,12276.95613,51.407402,18100,39.5,23881690,2.7146947,16.988623,102.909292939225,8.4639864,7.1045103,36.28647613525391,2.02,3.6500001,26.45919369,39,66.84,3.66,6.77,40.4,42.6,5.2
Nigeria,NGA,59964.30205,29.139921,163000,37.8,205780595,2.8959119,19.142321,102.044436321768,30.220589,8.5323515,55.84469223022461,.47,2.52,31.61698995,51,67.7,7.28,14.72,33,39,3.6
North Korea,PRK,5101.078356,19.761486,318,.6,25813233,3.5638831,17.066399,97.39651441502571,40.223488,,,,,50.09780444,69,31.24,7.19,11.47,28.1,25.2,8.6
Norway,NOR,1516.431221,28.249701,742,7.2,5367955,3.6813512,15.495957,101.651035566291,54.308079,11.072636,18.85657501220703,8.949999999999999,1.49,90.39722469,93,16.15,19.46,16.99,35.3,25.5,3.6
Oman,OMN,8476.874763,184.71614,12300,141.5,4589136,3.4242628,15.339202,174.289882346772,78.146477,10.428634,20.46259117126465,3.33,.47999999,67.47657117,86,40.44,24.72,37.71,48.3,38.8,13.8
Pakistan,PAK,302777.3037,134.50023,664000,152.6,225112860,3.1570003,19.232113,102.481727650398,27.437006,8.5482159,34.17903137207031,.9399999999999999,1.91,32.44176149,49,59.25,16.44,22.76,41.6,44.8,30.8
Panama,PAN,7491.413988,175.62636,10200,131.5,4265541,3.3911471,15.26608,100.21149174527,58.119041,10.359126,56.99533843994141,4.8,3.6700001,59.33355324,76,32.72,26.38,39.89,36.8,35.3,8.199999999999999
Papua New Guinea,PNG,8621.604522,89.353996,15600,82,9648818,3.11795,16.082346,107.187591089129,10.815465,8.2809305,32.36681365966797,1.36,.97000003,31.35434488,21,68.63,14.88,23.81,25.4,30.1,16.7
Paraguay,PRY,19795.048,301.15518,22500,159.2,6573039,3.2771447,15.698487,100.949119150958,50.986397,9.5185394,35.87355422973633,3.32,3.8399999,51.6519336,65,43.14,27.21,33.41,61.6,50.9,7.5
Peru,PER,224190.789,677.51251,349000,528.6,33090281,3.3707383,17.314751,98.2575218815779,62.399796,9.4521227,55.54974746704102,3.26,1.92,60.00284813,48,38.11,20.04,28.54,22.8,18.4,4.8
Philippines,PHL,228940.6293,205.71976,184000,82.90000000000001,111287623,3.2268441,18.527628,103.019077492671,94.095467,9.0747337,37.86528015136719,1.69,2.48,40.82291509,51,43.57,6.12,9.23,34.7,32.8,7.1
Poland,POL,163144.3813,423.99429,214000,297.2,38477966,3.7328963,17.465597,93.74906412453829,37.277878,10.409092,24.57174682617188,4.61,1.85,73.19871872,66,22.17,28.57,22.75,55.5,42.7,6.8
Portugal,PRT,23490.24466,228.09608,40400,202.2,10298399,3.8329797,16.147499,89.42449315682789,102.01636,10.46155,21.00570487976074,5.78,3.73,83.94461333,82,13.35,20.14,21.17,37,28,9.1
Romania,ROU,113399.6674,581.8432,119000,328.7,19489730,3.7612002,16.785398,93.82099508195959,37.511799,10.309164,30.07499313354492,4.58,1.13,69.68072246,67,20.87,32.24,27.87,52.6,43.9,6.5
Russia,RUS,1093164.529,749.9671,1070000,374.6,145761663,3.6788292,18.797483,86.7409371156172,62.800579,10.212976,41.78037261962891,3.45,2.2,67.64388703,99,25.72,21.71,24.41,47.3,41.2,5.6
Rwanda,RWA,528.4043238,4.0686135,21900,89.8,12987331,3.0106208,16.379484,95.38975566210421,13.119673,7.6922965,35.05759811401367,2.52,3.8199999,31.76267245,71,59.2,1.36,6.32,28.5,30.9,6.5
Saudi Arabia,SAU,30270.73048,83.551628,32900,46.4,36229972,3.462606,17.405397,138.98812329013,67.563759,10.713417,17.35599517822266,4.03,1.4400001,63.33233758,75,56.09,35.41,45.42,36.3,30.2,18.7
Senegal,SEN,11173.93023,68.909088,38600,130.1,16215467,2.9285235,16.601477,96.5658490766187,32.086052,8.1404562,41.272216796875,1.06,3.4400001,33.96111698,54,59.33,3.33,14.26,37.3,42.9,3.1
Serbia,SRB,53166.40302,720.01556,37400,228.9,7384063,3.7184381,15.814835,92.13080840229151,45.681179,9.8152075,,5.06,3.6099999,72.20135512,69,22.13,23.14,18.72,49.9,42.1,9.1
Sierra Leone,SLE,2758.920697,33.892506,7570,47.3,8140209,2.9496884,15.912327,100.350552469646,19.868164,7.4119701,41.6287956237793,1.24,7.8899999,30.9193827,40,65.56,2.5,10.58,38,43.4,2.1
Singapore,SGP,1797.147616,30.493626,-1770,-15.8,5893519,3.7471483,15.589364,109.526998490088,100.70589,11.495609,11.66327381134033,2.27,2.1300001,86.16257088,92,36.49,13.07,10.25,35.4,27.1,11.6
Slovakia,SVK,26140.54259,478.97928,25400,250.4,5457552,3.7184381,15.512511,95.4207696403477,25.875185,10.372662,16.59833526611328,5.45,1.47,73.43399474,73,23.21,27.7,21.79,47.4,38,5.8
Somalia,SOM,25470.61962,156.52208,89000,172.1,16272861,2.8213789,16.605009,100.520073870201,95.057373,7.0372787,,,,16.73228386,0,64.94,4.8,20.52,33.4,38.6,6.5
South Africa,ZAF,246801.8918,422.12787,302000,293.2,58466143,3.3068867,17.883959,94.4069344911636,38.38031,9.5361996,27.71855163574219,4.81,3.4300001,44.56412633,70,56.77,13.98,44.08,43.8,44.3,10.8
South Korea,KOR,9628.707958999999,18.567404,4630,4.4,51858128,3.7704594,17.764023,99.94248604814349,118.11445,10.663325,25.78866958618164,4.73,3.4400001,86.31870836,97,18.26,6.98,5.02,32,21.2,6.8
South Sudan,SSD,4839.182499,45.888859,14700,66.09999999999999,10545441,2.9549103,16.171204,97.8527330560693,18.616926,,,1.01,8.0299997,29.11390572,34,53.99,4.25,10.28,32.3,36,6.5
Spain,ESP,107537.7452,227.20863,162000,186.7,47329954,3.8177123,17.672653,96.14832993277879,67.630714,10.615464,21.81957817077637,6.45,2.7,89.67043635,85,12.79,19.36,13.66,33.5,20.8,10.3
Sri Lanka,LKA,-7131.25742,-32.888458,12900,29.5,21683162,3.5292974,16.892046,93.1487341045158,26.150028,9.52069,41.15616226196289,1.85,2.05,60.53536882,54,27.25,5.41,12.07,34.4,36.5,11.3
Sudan,SDN,49303.2878,112.49249,83600,108.5,43828068,2.9806187,17.595785,99.9222685468408,40.863285,8.3267908,,1.04,3.53,43.92242311,57,52.43,9.27,20.38,38,43.5,18.9
Sweden,SWE,12206.69658,118.26574,18100,91.2,10321414,3.713572,16.149731,101.152117946411,44.707314,10.875224,18.45762252807617,9.220000000000001,1.61,90.38109333,92,12.73,16.21,13.71,35.6,24.6,5
Switzerland,CHE,12491.95565,145.14676,15500,93.09999999999999,8606431,3.7635231,15.96802,98.4000108273858,16.966339,11.16842,8.191994667053223,3.72,7.3400002,92.55461206,95,13.29,14.4,9.52,26.4,17.5,4.6
Syria,SYR,10783.4543,52.638054,27100,61.7,20486043,3.0773122,16.835255,100.494901375111,41.593468,,19.88054656982422,,,60.16871789,48,40.17,24.72,39.83,42.4,39.8,14.9
Tajikistan,TJK,17847.20407,189.00296,29400,160.6,9442817,3.1484535,16.060764,101.223937688486,23.69058,8.1817989,37.58251190185547,1.9,5.0500002,42.48253464,62,53.2,17.89,25.38,50.9,42.8,6.6
Tanzania,TZA,9708.128401,15.974682,132000,127.1,60771966,2.8735647,17.92264,97.5396794904164,20.478203,7.8546395,52.00414276123047,1.57,2.3099999,32.46087884,51,58.39,5.35,15.89,30.9,35.4,12.3
Thailand,THA,73734.62327,103.28515,35200,24.9,71389374,3.6913764,18.08366,94.9131644315367,31.761707,9.7983313,47.12997436523438,2.72,1.0700001,62.54289287,85,33.91,10.35,16.52,29.1,29.2,9.699999999999999
Togo,TGO,3403.115435,40.793804,9030,58,8342236.000000001,2.9652731,15.936842,100.998139514469,14.456515,7.6403751,33.34841156005859,.86,4.8699999,33.4784228,39,67.28,4.84,14.95,34.3,37.5,2.1
Tunisia,TUN,35200.41577,290.76233,72500,324.2,12106251,3.487375,16.309233,97.9649440791103,49.707611,9.3147745,36.79095458984375,3.57,2.45,63.87093452,71,32.63,17.84,32.49,34.5,34.8,9.6
Turkey,TUR,210153.6405,250.74506,185000,118.6,83811681,3.4531572,18.244083,100.606076210965,105.313,10.245305,31.01963806152344,3.39,.98000002,64.76845428999999,77,27.29,24.27,39.73,30.8,34.4,14.5
Turkmenistan,TKM,3630.344832,58.512745,15200,160.6,6204366,3.2921262,15.640764,98.13534475145249,34.366879,9.6153126,,1.01,4.6700001,48.6716833,69,55.14,17.28,22.54,37.6,40.2,6.7
Uganda,UGA,6640.088918,15.199629,73500,93.5,43685863,2.7972813,17.592535,97.8538774743234,13.044388,7.7186923,39.60747146606445,.57,3.23,32.35636331,66,63.85,2.94,9.6,30.9,33.9,4.6
Ukraine,UKR,187836.1546,426.02225,181000,221.7,44090693,3.7232809,17.601759,86.3055161207171,49.367607,9.4575872,46.56287384033203,3.18,3.9100001,63.05205527,66,23.1,18.83,26.32,44.5,41.6,5.6
United Arab Emirates,ARE,4845.029687,52.392578,9340,91.3,9247550,3.5263605,16.039869,232.809833213144,80.391266,11.181392,29.39425659179688,2.25,2.1400001,58.83068745,96,75.43000000000001,28.35,39.27,43.9,34.5,16.4
United Kingdom,GBR,147084.982,219.68993,169000,126.8,66951174,3.7086821,18.019474,97.53143750222959,72.752106,10.765581,12.00540351867676,7.97,1.99,83.34223258999999,93,17.09,25.38,26.98,29.9,23,6.3
United States,USA,968425.3361,288.74756,1130000,179.3,335388238,3.6454499,19.6308,98.2671118876317,87.937897,11.042574,8.069782257080078,8.630000000000001,8.04,80.5818494,92,25.97,39.38,41.57,34.1,29,10.7
Uruguay,URY,3634.126637,106.00465,9820,155.4,3428271,3.5723457,15.047566,93.77624506043909,69.450523,10.054344,47.53620529174805,6.25,3.1400001,64.65891824000001,84,20.78,27.98,32.94,46,38.9,9
Uzbekistan,UZB,30620.25362,92.1091,69100,112.3,33243463,3.3393221,17.319368,100.083043968253,25.732716,8.9022036,,2.26,3.1700001,49.0101939,57,50.64,23.65,30.45,46.7,44.6,7
Venezuela,VEN,21137.78938,73.833923,164000,274.4,28628832,3.3672957,17.169926,98.35723266728451,81.984428,,36.5750617980957,.8100000000000001,1.38,54.13029439,70,39.82,20.49,24.86,39.7,39.1,9.6
Vietnam,VNM,-37274.39108,-38.745319,72300,37,96203595,3.4843123,18.381977,97.5254856931106,52.652767,9.2352285,14.35745143890381,2.02,2.95,55.63775766,66,28.98,1.45,1.62,32.9,26.4,6.1
Yemen,YEM,30990.70275,97.066986,65600,108,31927129,3.0106208,17.278967,102.311693630387,18.876461,,30.23937225341797,,,39.29311225,52,58.62,8.970000000000001,15.25,29.1,29.6,5.4
Zambia,ZMB,14281.73159,76.557465,81300,228.2,18654918,2.8735647,16.741621,97.3407837747565,30.845737,8.1233673,46.99799346923828,2.26,4.4899998,31.61706097,60,61.04,4.16,14.31,30.3,33.8,11.9
Zimbabwe,ZWE,16552.92832,106.7571,80900,283.6,15505226,2.9755297,16.556688,89.03520392070629,25.417099,7.6977553,60.92413330078125,.46,2.77,28.57709564,50,56.26,4.51,19.18,36.9,46.4,2.1
